"headword","pos","dialect_id","jsonb_data"
"Ògé","noun","6","{""source"": ""Dialect Seed"", ""dialect"": ""Ehugbo (Afikpo Igbo)"", ""english_translation"": ""cutlass"", ""origin"": ""Aja, H. N., Emeka-Nwobia, N. U., & Onu, M. A. (2018). 'A Lexicostatistical Survey of Afikpo-Igbo Varieties.' World Applied Sciences Journal 36(9): 1014-1018. DOI: 10.5829/idosi.wasj.2018.1014.1018"", ""license"": ""academic source, cited; hand-curated wordlist"", ""dialect_assigned_default"": false}"
"Úgbó","noun","6","{""source"": ""Dialect Seed"", ""dialect"": ""Ehugbo (Afikpo Igbo)"", ""english_translation"": ""bed"", ""origin"": ""Aja, H. N., Emeka-Nwobia, N. U., & Onu, M. A. (2018). 'A Lexicostatistical Survey of Afikpo-Igbo Varieties.' World Applied Sciences Journal 36(9): 1014-1018. DOI: 10.5829/idosi.wasj.2018.1014.1018"", ""license"": ""academic source, cited; hand-curated wordlist"", ""dialect_assigned_default"": false}"
"Nainàí","noun","6","{""source"": ""Dialect Seed"", ""dialect"": ""Ehugbo (Afikpo Igbo)"", ""english_translation"": ""tray-pan"", ""origin"": ""Aja, H. N., Emeka-Nwobia, N. U., & Onu, M. A. (2018). 'A Lexicostatistical Survey of Afikpo-Igbo Varieties.' World Applied Sciences Journal 36(9): 1014-1018. DOI: 10.5829/idosi.wasj.2018.1014.1018"", ""license"": ""academic source, cited; hand-curated wordlist"", ""dialect_assigned_default"": false}"
"obúú","noun","6","{""source"": ""Dialect Seed"", ""dialect"": ""Ehugbo (Afikpo Igbo)"", ""english_translation"": ""crayfish"", ""origin"": ""Aja, H. N., Emeka-Nwobia, N. U., & Onu, M. A. (2018). 'A Lexicostatistical Survey of Afikpo-Igbo Varieties.' World Applied Sciences Journal 36(9): 1014-1018. DOI: 10.5829/idosi.wasj.2018.1014.1018"", ""license"": ""academic source, cited; hand-curated wordlist"", ""dialect_assigned_default"": false}"
"Akíékéé","noun","6","{""source"": ""Dialect Seed"", ""dialect"": ""Ehugbo (Afikpo Igbo)"", ""english_translation"": ""coconut"", ""origin"": ""Aja, H. N., Emeka-Nwobia, N. U., & Onu, M. A. (2018). 'A Lexicostatistical Survey of Afikpo-Igbo Varieties.' World Applied Sciences Journal 36(9): 1014-1018. DOI: 10.5829/idosi.wasj.2018.1014.1018"", ""license"": ""academic source, cited; hand-curated wordlist"", ""dialect_assigned_default"": false}"
"Úkpúkání","noun","6","{""source"": ""Dialect Seed"", ""dialect"": ""Ehugbo (Afikpo Igbo)"", ""english_translation"": ""door"", ""origin"": ""Aja, H. N., Emeka-Nwobia, N. U., & Onu, M. A. (2018). 'A Lexicostatistical Survey of Afikpo-Igbo Varieties.' World Applied Sciences Journal 36(9): 1014-1018. DOI: 10.5829/idosi.wasj.2018.1014.1018"", ""license"": ""academic source, cited; hand-curated wordlist"", ""dialect_assigned_default"": false}"
"ukom","noun","6","{""source"": ""Dialect Seed"", ""dialect"": ""Ehugbo (Afikpo Igbo)"", ""english_translation"": ""plantain"", ""origin"": ""Aja, H. N., Emeka-Nwobia, N. U., & Onu, M. A. (2018). 'A Lexicostatistical Survey of Afikpo-Igbo Varieties.' World Applied Sciences Journal 36(9): 1014-1018. DOI: 10.5829/idosi.wasj.2018.1014.1018"", ""license"": ""academic source, cited; hand-curated wordlist"", ""dialect_assigned_default"": false}"
"Òsé","noun","6","{""source"": ""Dialect Seed"", ""dialect"": ""Ehugbo (Afikpo Igbo)"", ""english_translation"": ""pepper"", ""origin"": ""Aja, H. N., Emeka-Nwobia, N. U., & Onu, M. A. (2018). 'A Lexicostatistical Survey of Afikpo-Igbo Varieties.' World Applied Sciences Journal 36(9): 1014-1018. DOI: 10.5829/idosi.wasj.2018.1014.1018"", ""license"": ""academic source, cited; hand-curated wordlist"", ""dialect_assigned_default"": false}"
"Òkpùkpò","noun","6","{""source"": ""Dialect Seed"", ""dialect"": ""Ehugbo (Afikpo Igbo)"", ""english_translation"": ""stream"", ""origin"": ""Aja, H. N., Emeka-Nwobia, N. U., & Onu, M. A. (2018). 'A Lexicostatistical Survey of Afikpo-Igbo Varieties.' World Applied Sciences Journal 36(9): 1014-1018. DOI: 10.5829/idosi.wasj.2018.1014.1018"", ""license"": ""academic source, cited; hand-curated wordlist"", ""dialect_assigned_default"": false}"
"Akpùkpá","noun","6","{""source"": ""Dialect Seed"", ""dialect"": ""Ehugbo (Afikpo Igbo)"", ""english_translation"": ""maize"", ""origin"": ""Aja, H. N., Emeka-Nwobia, N. U., & Onu, M. A. (2018). 'A Lexicostatistical Survey of Afikpo-Igbo Varieties.' World Applied Sciences Journal 36(9): 1014-1018. DOI: 10.5829/idosi.wasj.2018.1014.1018"", ""license"": ""academic source, cited; hand-curated wordlist"", ""dialect_assigned_default"": false}"
"Ògòngò","noun","6","{""source"": ""Dialect Seed"", ""dialect"": ""Ehugbo (Afikpo Igbo)"", ""english_translation"": ""potato"", ""origin"": ""Aja, H. N., Emeka-Nwobia, N. U., & Onu, M. A. (2018). 'A Lexicostatistical Survey of Afikpo-Igbo Varieties.' World Applied Sciences Journal 36(9): 1014-1018. DOI: 10.5829/idosi.wasj.2018.1014.1018"", ""license"": ""academic source, cited; hand-curated wordlist"", ""dialect_assigned_default"": false}"
"Ayim","noun","6","{""source"": ""Dialect Seed"", ""dialect"": ""Ehugbo (Afikpo Igbo)"", ""english_translation"": ""onions"", ""origin"": ""Aja, H. N., Emeka-Nwobia, N. U., & Onu, M. A. (2018). 'A Lexicostatistical Survey of Afikpo-Igbo Varieties.' World Applied Sciences Journal 36(9): 1014-1018. DOI: 10.5829/idosi.wasj.2018.1014.1018"", ""license"": ""academic source, cited; hand-curated wordlist"", ""dialect_assigned_default"": false}"
"Mgbimgbí","noun","6","{""source"": ""Dialect Seed"", ""dialect"": ""Ehugbo (Afikpo Igbo)"", ""english_translation"": ""paw-paw"", ""origin"": ""Aja, H. N., Emeka-Nwobia, N. U., & Onu, M. A. (2018). 'A Lexicostatistical Survey of Afikpo-Igbo Varieties.' World Applied Sciences Journal 36(9): 1014-1018. DOI: 10.5829/idosi.wasj.2018.1014.1018"", ""license"": ""academic source, cited; hand-curated wordlist"", ""dialect_assigned_default"": false}"
"Áhù","noun","6","{""source"": ""Dialect Seed"", ""dialect"": ""Ehugbo (Afikpo Igbo)"", ""english_translation"": ""melon"", ""origin"": ""Aja, H. N., Emeka-Nwobia, N. U., & Onu, M. A. (2018). 'A Lexicostatistical Survey of Afikpo-Igbo Varieties.' World Applied Sciences Journal 36(9): 1014-1018. DOI: 10.5829/idosi.wasj.2018.1014.1018"", ""license"": ""academic source, cited; hand-curated wordlist"", ""dialect_assigned_default"": false}"
"Ùné","noun","6","{""source"": ""Dialect Seed"", ""dialect"": ""Ehugbo (Afikpo Igbo)"", ""english_translation"": ""banana"", ""origin"": ""Aja, H. N., Emeka-Nwobia, N. U., & Onu, M. A. (2018). 'A Lexicostatistical Survey of Afikpo-Igbo Varieties.' World Applied Sciences Journal 36(9): 1014-1018. DOI: 10.5829/idosi.wasj.2018.1014.1018"", ""license"": ""academic source, cited; hand-curated wordlist"", ""dialect_assigned_default"": false}"
"ogbogoro","noun","6","{""source"": ""Dialect Seed"", ""dialect"": ""Ehugbo (Afikpo Igbo)"", ""english_translation"": ""key"", ""origin"": ""Aja, H. N., Emeka-Nwobia, N. U., & Onu, M. A. (2018). 'A Lexicostatistical Survey of Afikpo-Igbo Varieties.' World Applied Sciences Journal 36(9): 1014-1018. DOI: 10.5829/idosi.wasj.2018.1014.1018"", ""license"": ""academic source, cited; hand-curated wordlist"", ""dialect_assigned_default"": false}"
"Uba","noun","6","{""source"": ""Dialect Seed"", ""dialect"": ""Ehugbo (Afikpo Igbo)"", ""english_translation"": ""fish"", ""origin"": ""Aja, H. N., Emeka-Nwobia, N. U., & Onu, M. A. (2018). 'A Lexicostatistical Survey of Afikpo-Igbo Varieties.' World Applied Sciences Journal 36(9): 1014-1018. DOI: 10.5829/idosi.wasj.2018.1014.1018"", ""license"": ""academic source, cited; hand-curated wordlist"", ""dialect_assigned_default"": false}"
"Éhò","noun","6","{""source"": ""Dialect Seed"", ""dialect"": ""Ehugbo (Afikpo Igbo)"", ""english_translation"": ""stomach"", ""origin"": ""Aja, H. N., Emeka-Nwobia, N. U., & Onu, M. A. (2018). 'A Lexicostatistical Survey of Afikpo-Igbo Varieties.' World Applied Sciences Journal 36(9): 1014-1018. DOI: 10.5829/idosi.wasj.2018.1014.1018"", ""license"": ""academic source, cited; hand-curated wordlist"", ""dialect_assigned_default"": false}"
