En, Ib
"And God raised us up with Christ and seated us with him in the heavenly realms in Christ Jesus,","Chineke kuvutekote ayịa Karaịs na ọnwụ, me ayị nọdụkọta ayịa Karaịs Jisọs na elugwe."
"in order that in the coming ages he might show the incomparable riches of his grace, expressed in his kindness to us in Christ Jesus.","Chineke meri e ya ẹhua ma o jiri e gusi ụmụ madụ na ụwa ka abịataje abịa ohihine ẹwụọma a hiri, nke o gusiri na obuọma o mesoru ayị na ọnwụ Karaịs Jisọs nwụhụụrụ ayị."
"For it is by grace you have been saved, through faith—and this is not from yourselves, it is the gift of God—","Maka na ọ bụ ewụọma Chineke meri a zọfụta ayị hite na ntụkwasịobu na ibe Karaịs nọ. Ọ hidigi unu na ẹka mbụ nzọfụta uunu, ọ bụ ihe Chineke yaẹkaa nịri na amaka."
"not by works, so that no one can boast.","Ọ bụdịgị ihe e meri na nke madu garị rụkebe ọrụ ike, na ọ dịkwa onye je-eji e baa mba."
"For we are God’s handiwork, created in Christ Jesus to do good works, which God prepared in advance for us to do.","Maka na ayị bụ ọrụ ẹka Chineke, nde e kegeriworu na ime Karaịs Jisọs ịrụ ọrụ ọma bụ nke Chineke hiworuri kie ye na ọ dị."
To be one in Christ,Ịbụ Nnanị Na Ime Karaịs
"Therefore, remember that formerly you who are Gentiles by birth and called “uncircumcised” by those who call themselves “the circumcision” (which is done in the body by human hands)—","Unu rịa na mgbe garị aga na unuande bụ nde aabụgụ nde Juu bụ nde a nọrụ na-ekuu ""Nde eesegi ọnụ-utu, mbụ ndem na-eku onwowo, ""Nde e seri ọnụ-utu,"" bụkwanụ ihe e meri na anụhụ."
"remember that at that time you were separate from Christ, excluded from citizenship in Israel and foreigners to the covenants of the promise, without hope and without God in the world.","Unu rịta na ya mgbem na unu bụrụ nde nọrụ na-ebu ndụ wo na amagi Karaịs, nde a kpafụrụ na obụbụ nde alị Izirẹlụ, bụrụ nde mba ọzọ eenwogu oke ọọbụla na nkwam nke ọgbụgbandụ Chineke kweri wo, bụrụ nde eenwogu olile-enya ọọbụla na ụwa, nwokogu Chineke."
But now in Christ Jesus you who once were far away have been brought near by the blood of Christ.,"Ọbụ ẹhụọdị unu nọzu na ime Karaịs Jisọs, unuande bụwaarị nde nọwaarịrị na ibe otele, abụworu nde e wenyebeworu hite na mee Karaịs."
"For he himself is our peace, who has made the two groups one and has destroyed the barrier, the dividing wall of hostility,","Maka na Karaịs yaẹkaa bụ udo aayị, maka na o mewo ayịa ẹbọọ bụzuru nnanị, hite na emebisi ihom na-akpa-oke na etiti aayị, ihom na-ewete nkewe nke esemokwu."
"by setting aside in his flesh the law with its commands and regulations. His purpose was to create in himself one new humanity out of the two, thus making peace,","Hite na ọnwụ a, Jisọs welehiri iwum a nịrị nde Juu, yaa me ẹhụa emekwe ẹhụa yaa ya yịrị. Ihe Jisọs kworu mie ye bụ, na o hi na ya ụzọ madụm ẹbọọ kefute madụ ohụụ, ga ya ẹhụm me na udo adị."
"and in one body to reconcile both of them to God through the cross, by which he put to death their hostility.","Karaịs keyeri na elu obe na mgbe ọnwụ a mebisie ihom bụ ee-kweteerigi ihe onwaayị, weri ayị dika nde aanị kpezie ayịa Chineke, me ka ịkpa oke aadịsị na etiti nde Juu woa nde mba ọzọ."
He came and preached peace to you who were far away and peace to those who were near.,"Jisọs weri oziọma nke udo jekwute unuande bụrụ nde nọrụrị Chineke na ibe otele bụ nde mba ọzọ bia-ezie, weteko oziọma nke udo bịa-ezie nde nọnyabanwa Chineke bụ nde Juu."
For through him we both have access to the Father by one Spirit.,"Maka ihe Karaịs rụrụ, ayị oohu, maa nde Juu, maa nde mba ọzọ, nwozuru ike ịbịakwute Chineke bụ Nna, na ike nke Maa Nsọ."
"Consequently, you are no longer foreigners and strangers, but fellow citizens with God’s people and also members of his household,","Ọ bụ a meri unuande abusịgị nde mba ọzọ aamagi ama, kama unu bụkọzu ndeke Chineke, sokozu na ezi-na-ulo Chineke."
"built on the foundation of the apostles and prophets, with Christ Jesus himself as the chief cornerstone.","Unu dizu ka ulo e wuliteri na ntọalị bụ ndeozi Karaịs, yaa nde amụma Chineke Ibe Karaịs Jisọs yaẹkaa bụ isi-osisi ji ya ulom."
In him the whole building is joined together and rises to become a holy temple in the Lord.,"Na ime Karaịs, ayi dịka ulo jikote ẹka, e wuru ya ọ bụrụ ulo nso nke Onyenwoayi"
And in him you too are being built together to become a dwelling in which God lives by his Spirit.,Na ime Karaịs unu bụkọzu ya ulom a na-ewu Chineke bu na imie hite na ike nke Maa Nsọ a
"Paul, the apostle to those who are not jews.",Pọl Onye Oziọma Nde Aabụgụ Nde Juu
"For this reason I, Paul, the prisoner of Christ Jesus for the sake of you Gentiles—","Ọ bụ maka unuande bụ nde aabụgụ nde Juu meri Karaịs Jisọs debe mụonie bụ Pọl, ka onye mkpọrọ a."
"Surely you have heard about the administration of God’s grace that was given to me for you, that is, the mystery made known to me by revelation, as I have already written briefly.","Asị na unu nụworu nke Chineke jiri ẹwụọma a nị m ọrụa, ịbụ onye oziọma uunu maka unu, dịka m gbatụụrụ unu na ẹkwụkwọ bayeri ihe dị omimi Chineke kpuheeri m."
"In reading this, then, you will be able to understand my insight into the mystery of Christ,","Mgbe unu na-agị ẹkwụkwọa, unu je-enwo ike gọta otue odudo ẹnya m nworu bayeri ihe omimi nke Karaịs."
which was not made known to people in other generations as it has now been revealed by the Spirit to God’s holy apostles and prophets.,Aaka adịtụgụ madụ e meri ya ọ marị a hite na ọgbọ nde garị aha ehụa Maa Nsọ kpuhewooru e ndeozi woa nde amụma Chineke dịga nsọ.
"6 This mystery is that through the gospel the Gentiles are heirs together with Israel, members together of one body, and sharers together in the promise in Christ Jesus.","Ya ihe omimie bụ: Na hite na oziọma, nan de aabụgụ nde Juu woa nde Izirẹlụ je-eri ekpe nkwa Chineke.Na woa nde Izirẹlụ abụzuru nnanị, soru kete oke nay a nkwam Chineke kweri ịgọzi ụmụ madụ hite na ẹka Jisọs Karaịs"
I became a servant of this gospel by the gift of God’s grace given me through the working of his power.,Chineke jiri ẹwụọma mie m onyeozi nke ya oziọmaa nke m ji ikike Chineke na-ezisee.
"Although I am less than the least of all the Lord’s people, this grace was given me: to preach to the Gentiles the boundless riches of Christ,","Na-agbayegi na ọ bụ m kadụa ahaba ẹka na ndekiw, Chineke gbaarị m ẹwụọma, nị m ikike izi nde aabụgụ nde Juu bayeri ngọzi Karaịs eenwogu ẹtụ."
"and to make plain to everyone the administration of this mystery, which for ages past was kept hidden in God, who created all things.","Chineke onye keri ihe ọọbụla na ohu nịrị m ikike ime na ihe omimi nke atụmatụ a, o vu na obu ẹkamgbe okike ụwa, doe ụmụ madụ ẹnya."
"His intent was that now, through the church, the manifold wisdom of God should be made known to the rulers and authorities in the heavenly realms,",Chineke meri e ya ẹhụm ma o jiri chọchị gusi ọchịchị isi oohu na elugwe ihe dị omimi nke amamihie.
according to his eternal purpose that he accomplished in Christ Jesus our Lord.,Ị bụkwanụ atụmatụa nke Chineke rụfụtarị eveum na obu e na ohu aagwụgụ agwụ o mezuru na Karaịs Jisọs Onyenwoayị.
In him and through faith in him we may approach God with freedom and confidence.,Ọ bụ iso Karaịs yaa inwo okwukwe na ibe ọ nọ bụ nke madụ je-aga nwoe obu ikike ịbịa na ihu Chineke.
"I ask you, therefore, not to be discouraged because of my sufferings for you, which are your glory.","Ọ bụ a meri m na-ajayeri unu, na obu adakwa unu mba maka ntaram-ahụhụaga m na-agabuge, ọ bụ maka ọdịma uunu."
A Prayer for the Ephesians,Ekpere Pọl Kpeeri Nde Efesọa
"For this reason I kneel before the Father,  from whom every family in heaven and on earth derives its name.","Ọ bụ maka ihie na ohu meri m na-egbusi ikpere na ekepre na ihu Chineke Nna, onye e hi na ẹka a ihe ọọbụla dị ndụ na elugwe maa na elụwa nwote ẹha woga."
"I pray that out of his glorious riches he may strengthen you with power through his Spirit in your inner being,","Ekpere m bụ na Chineke hite na ẹkụ na ụba a dị izize, weri ikike Maa Nsọ a dị ebube gbaa unu ume."
"so that Christ may dwell in your hearts through faith. And I pray that you, being rooted and established in love,",Na Karaịs hite na ntụkwasịobu unu now na ibe ọ nọ buru na ime obu uunu. Na unu bụrụ nde je-eguzosi ike na ime ịhụnẹnya
"may have power, together with all the Lord’s holy people, to grasp how wide and long and high and deep is the love of Christ,","Na unu nworu ikike, unua ụmụ Chineke na ohu gọta ọsịsa, mata ogologo ogologo, ịdị na elu yaa uhie uhie, matakọ ịdị ogbu nke ịhụnẹnya Karaịs."
and to know this love that surpasses knowledge—that you may be filled to the measure of all the fullness of God.,"Na unu mata ịhụnẹnya Karaịs aadịgị amatadụ, na unu bụrụ nde Chineke je-agbajufute na ngọzi e, na unu eju rọgọrọgọ."
"Now to him who is able to do immeasurably more than all we ask or imagine, according to his power that is at work within us,to him be glory in the church and in Christ Jesus throughout all generations, for ever and ever!","Na otuto dịrị Chineke, onye nworu ike ime ihe, karịkọhaa nke ayị nworu ike ịrịa ma ọ bụgụ rịa na obu aayị, hite na ikikie nọ na ọrụ na ime aayị, Otuto dịrị a na Chọchị yaana ime Karaịs Jisọs rue na ọgbọ oohu, rue mgbe agwụ-agwụ."
Amen.,Amịn.
"The lineage of Jesus Christ, son of David, David was the son of Abraham","Eriri Jisọs Karaịs nwa Devidi, Devidi bụrụ nwa Eburaham."
Abraham bore Issac,"Eburaham mụtarị Aịziki,"
Isaac bore Jacob,"Aịziki mụta Jekọb,"
Jacob bore Judah and his siblings,"Jekọb mụta Juda yaa ụmụ nnịawo ndikom,"
Juda bore Pẹrẹz and Zerah,"Juda mụta Pẹrẹz yaa Zera,"
Tamar was their mother,Tama bụrụ ne wo.
Pẹrẹz bore Hẹzrọn,"Pẹrẹz mụta Hẹzrọn,"
Hẹzrọn bore Ram,"Hẹzrọn mụta Ram,"
Ram bore Aminadab,"Ram mụta Amịnadab,"
Aminadab bore Nashon,"Amịnadab mụta Nashọn,"
Nashon bore Salmon,"Nashọn mụta Salmọn,"
Salmon bore Boaz,"Salmọn mụta Boaz,"
Their mother was Rahab,"niewo bụrụ Rehab,"
Boaz bore Obẹd,"Boaz mụta Obẹd,"
Their mother was Ruth,"niewo bụrụ Rut,"
Obẹd bore Jese,"Obẹd mụta Jese,"
Jesse bore King David,Jese mụta eze Devidi.
David bore Solomon,Devidi mụta Solomọnụ
His mother was his wife Uriah,"niewo bụwaarị nyee Uria,"
Solomon bore Rehoboam,"Solomọnụ mụta Rehobuam,"
Rehoboam bore Abijah,"Rehobuam mụta Abịja,"
Abijah bore Asa,"Abịja mụta Asa,"
Asa bore Jehoshaphat,"Asa mụta Jehoshafat,"
Jehoshaphat bore Joram,"Jehoshafat mụta Jehoram,"
Joram was the father of Uzziah,"Jehoram bụrụ nnade Uzia,"
Uzziah bore Jotham,"Uzia mụta Jọtam,"
Jotham bore Ahaz,"Jọtam mụta Ahaz,"
Ahaz bore Hezekiah,"Ahaz mụta Hezekaya,"
Hezekiah bore Manasseh,"Hezekaya mụta Manasẹ,"
Manasseh bore Amon,"Manasẹ mụta Amọn,"
Amon bore Josiah,"Amọn mụta Josaya,"
Josiah bore Jechoniah and his brothers,Josaya mụta Jekonayaa yaa ụmụ niewo ndikom.
It was when they deported the people of Israel to Babylon,"Ọ bụrụ na mgbem a lụgburu nde Izirẹlụ na aga, vufu wo je-edebe na Babịlọn."
After the exile to Babylon,"Mgbe e vufuduru wo je-edebe na ọnọdụ nde e meriri na aga na Babịlọn,"
Jechoniah was the father of Shealtiel,"Jekonaya bụrụ nnade Shiẹltiẹl,"
Shealtiel was the father of Zerubbabel,"Shiẹltiẹl bụrụ nnade Zerubabẹl,"
Zerubbabel was the father of Abịud,"Zerubabẹl bụrụ nnade Abịud,"
Abịud was the father of Eliakim,"Abịud bụrụ nnade Eliyakim,"
Eliakim was the father of Azọr,"Eliyakim bụrụ nnade Azọ,"
Azor was the father of Zadọk,"Azọ bụrụ nnade Zadọk,"
Zadok was the father of Achim,"Zadọk bụrụ nnade Akim,"
Achim was the father of Eliud,"Akim bụrụ nnade Eliud,"
Eliud was the father of Eleazar,"Eliud bụrụ nnade Elieza,"
Eleazar was the father of Matthan,"Elieza bụrụ nnade Matan,"
Matthan was the father of Jacob,"Matan bụrụ nnade Jekọb,"
Jacob was the father of Joseph who was the husband of Mary who bore Jesus who is called Christ,"Jekọb bụrụ nnade Josẹf bụrụ di Meri, onye mụtarị Jisọs a na-eku Karaịs."
Starting from the time of Abraham to the time of David was 14 generations,Hite na mgbe Eburaham rue na mgbe Devidi dị ọgbọ irile ẹnọ.
Starting from David to when the people of isreal were deported to Babylon were 14 generations,Hite na mgbe Devidi rue mgbe a lụgburu ụmụ Izirẹlụ na aga vulege Babịlọn dịkọm ọgbọ irile ẹnọ.
From when they went to Babylon to when Christ was born was also 14 generations,Hiteko na ya mgbe aga Babịlọnụm rue mgbe a mụrụ Karaịs dịkọm ọgbọ irile ẹnọ.
This is how the birth of Jesus Christ came about,Ẹɦụa bụ nke ọmụmụ Jisọs Karaịs garị gbaa:
His mother Mary was pledged to be married to Joseph,Nie bụ Meri bụ onye nwoke a na-eku Josẹf kụyeri ma ọlụa.
"But before they came together, she was found to be pregnant through the Holy Spirit.","Na mgbe wo aaka ebukotegi dịka di la nyee, a hụta na Meri dịzuru ime hite na ikike Maa Nsọ."
"Because Joseph her husband was faithful to the law, and yet did not want to expose her to public disgrace","Josẹf di Meri bụrụ onye ụmara-ọma, ka ọọchọkọ na o mechue Meri ihu na ọha."
he had in mind to divorce her quietly,Ya o kpebue na ọ je-ọtọm ụhụ wefu ẹka na Meri jijeri onwoe.
"But after he had considered this, an angel of the Lord appeared to him in a dream and said, “Joseph son of David, do not be afraid to take Mary home as your wife, because what is conceived in her is from the Holy Spirit. ","Mgbe ọ ka-ọnọm na-awụma nke ọ je-ọga mie ihe bụ uchie, maaozi Onyenwoayị jekwute e na nrọ sị a, “Josẹf nwa Devidi, asọsị ụjọ ịlụbata nyee gi Meri ulo, maka na imem ọ dị hi na ikike Maa Nsọ."
"She will give birth to a son, and you are to give him the name Jesus because he will save his people from their sins.”",O je-amụ nwa nwoke. Ẹha ị je-ịgụ a bụ Jisọs maka na o je-azọfụta ndekie na ihe ọjọọ wo.”
 All this took place to fulfill what the Lord had said through the prophet: ,Ihie na ohu gbarị ma ihe Onyenwoayị garị ẹka nde amụma kwue mezue:
"“The virgin will conceive and give birth to a son, and they will call him Immanuel” which means “God with us”","“Nwagbọgọ aaka amatụgụ nwoke je-adị ime, mụa nwa nwoke, na wo agụa ya Ịmanuẹl,” nke fụtarị, “Chineke nọ na etiti aayị.”"
"When Joseph woke up, he did what the angel of the Lord had commanded him","Mgbe Josẹf hi na ya ụram pavuru, ya o mie ẹɦụm ya maaozim nke Onyenwoayị ziri e."
He took Mary home as his wife,"Ya o je je-ekute Meri kulete na ulo e, lụrụ a ya ọ bụrụ nyee ye."
But he did not consummate their marriage until she gave birth to a son,"Ọbụ na ọ dịdịgị mgbe yaa ya nworu mmeko ka di la nyee tututu Meri mụa nwa, ya ọ bụrụ nwa nwoke."
And he gave him the name Jesus,Josẹf gụa ya Jisọs.
The wisemen visit jesus,Nde Amamihe Kpakwute Jisọs
After Jesus was born in Bethlehem in Judea during the time of King Herod,"Mgbe a mụrụ Jisọs na Bẹtlẹhẹm dị na Judia, ọ bụrụ Herọd nọrụ na-achị."
Wiseman from the east came to Jerusalem ,Nde amamihe hi na ọwụwa ẹnyanwụ bịa na Jerusalẹm.
"They asked, “Where is the one who has been born king of the Jews?","Wo bịa-ajụ, “Ndaa ya onyem a mụrụ je-abụ eze nde Juu?"
We saw his star when it rose and have come to worship him.,"Ayị hụrụ chichinda a na ọwụwa ẹnyanwụ, ayị bịa ma ayị kpọarị a isi na alị.”"
"After Jesus was born in Bethlehem in Judea, during the time of King Herod, Magi from the east came to Jerusalem","Mgbe Eze Herọd nụrụ ihe nde amamihie kwuru, ya o mekesie ye ụhụ, yaa madụ oohu nọ na Jerusalẹm."
"When he had called together all the people’s chief priests and teachers of the law, he asked them where the Messiah was to be born.","Herọd je-achịkọta nde isi ọchụẹja na ohu maa nde ozizi iwu Mosisi, na-ajụ wo ka ndaa ibe e je-amụ ya Karaịsịm."
"“In Bethlehem in Judea,” they replied, “for this is what the prophet has written:","Wo sị a, “Na Bẹtlẹhẹm dị na Judia, maka na ọ bụ ihe nde amụma deri na Ẹkwụkwọ Nsọ:"
"‘But you, Bethlehem, in the land of Judah, are by no means least among the rulers of Judah; for out of you will come a ruler who will shepherd my people Israel.’ ”","Gịoni Bẹtlẹhẹm dị na alị Juda, ọ bụgụ gụ kadụa ẹka ahaba na alị Juda oohu, maka na onye ọchịchị je-ehi na gị fụta,je-abụrụ ndeke m ụmụ Izirẹlụ onyena-azụ wo ka atụrụ.’ "
Then Herod called the Magi secretly and found out from them the exact time the star had appeared.,Ya mgbem Herọd kuhutecheeri nde amamihem na ọ jụtachaa wo mgbe wo hụrụ ya chichindam fụtarị.
"He sent them to Bethlehem and said, “Go and search carefully for the child.","Ya o dufu wo jee Bẹtlẹhẹm, sị wo, “Unu je-achọvụta ya nwatam a mụrụ."
"As soon as you find him, report to me, so that I too may go and worship him.”","Unu medue chọvụta a, unu bịa-ezie m hoohoo, ma mụoni"
"After they had heard the king, they went on their way,","Mgbe Eze Herọd kwuduuru wo, wo mekote garị na-eje."
the star they had seen when it rose went ahead of them until it stopped over the place where the child was.,"Ya chichindam wo hiri hụ na ọwụwa ẹnyanwụ fụtachakwaarị bịa-ebuteri wo ụzọ, jegem rue na ibom a mụrụ ya nwam, je eguzo na elu e."
"When they saw the star, they were overjoyed.","Mgbe wo hụrụ ya chichindam, obu dịrị wo ụtọ ọkam."
"On coming to the house where the star showed them, they saw the child with his mother Mary,",Wo rute na ya ulom ya chichindam kwụsịrị na elu e bịa-ahụ ya nwatam yaa nie Meri.
and they bowed down and worshiped him.,Wo huride kpọarị a isi na alị.
Then they opened their treasures and presented him with gift,Wo wete ihe wo jiri bịa nkie nị a.
"They gave him gold, frankincense and myrrh.","Wo nịrị a ọlaodo maa frankịnsẹnsị, yeri mẹẹ."
"And having been warned in a dream not to go back to Herod, they returned to their country by another route.",Chineke sie ya nde amamihem ẹka na ntị na nrọ wo alahachisikwe na nke Herọd je-ezie ye maka ya nwatam ẹɦụm ọ sịrị wo.
They used another route to return to their country.,Wo gazu ụzọ ọzọ na-ala ibe nke wo.
The Escape to Egypt,Agbalaga Ijiputu
"When they had gone, an angel of the Lord appeared to Joseph in a dream. “Get up,” he said, “take the child and his mother and escape to Egypt.","Mgbe ya nde amamihem larị, maaozi nke Onyenwoayị jekwute Josẹf na nrọ sị a, “Pavuru! Kuru nwatam yaa niewo gbala Ijiputu."
"Stay there until I tell you, for Herod is going to search for the child to kill him.”","Nọdụa na ya ibom tututu rue mgbe m je-ekwuru gu, maka na Herọd na-achọ ya nwatakịrịm ogbugbu.”"
"So he got up, took the child and his mother during the night and left for Egypt,","Josẹf him na ụra pavuru, kuru ya nwatam yaa niewo na-agbala Ijiputu na ya abalịm."
They stayed in Egypt until the death of Herod.,Wo nọgazum na Ijiputu tututu rue mgbe Herọd nwụhụrụ.
And so was fulfilled what the Lord had said through the prophet: “Out of Egypt I called my son.”,"Ya ọ bụrụ nke a garị ihe Onyenwoayị kwuru na ọnụ nde amụma mezue, “E hiwo m na Ijiputu kufute Nwa m nwoke.”"
"When Herod realized that he had been outwitted by the wise men, he was furious","Mgbe Herọd hụrụ na ya nde amamihem agọgbuwo e, iwe fụ a."
"he gave orders to kill all the boys in Bethlehem and its vicinity who were two years old and under, in accordance with the time he had learned from the Magi.","Ya ọ tụa iwu sị na e gbue ihe ọọbụla bụ nwoke a mụrụ na Bẹtlẹhẹm gbaa gburugburu, dị hite na ahọ ẹbọọ laa alị, bụ ahịaga mgbem nde amamihem sịrị a na wo hụrụ chichinda a na ibe nke wo na ọwụwa ẹnyanwụ."
Then what was said through the prophet Jeremiah was fulfilled:,Ya o me ihe onye amụma Jeremaya kwuru mezue.
"“A voice is heard in Ramah, weeping and great mourning, Rachel weeping for her children and refusing to be comforted, because they are no more.”","“Olu na-adaa na Rama, ẹkwa yaa oke asụm-ude,Rẹchẹl na-akwarị ụmụ a ẹkwaka ookwe na a kasie ye obu, maka na ụmụ a anwụhụduwo.”"
The Return to Nazareth,Agalata Na Nazarẹtị
"After Herod died, an angel of the Lord appeared in a dream to Joseph in Egypt  and said, “Get up, take the child and his mother and go to the land of Israel, for those who were trying to take the child’s life are dead.”","Mgbe Herọd nwụhụrụ, maaozi Onyenwoayị jekwute Josẹf na nrọ na Ijiputu, sị a, “Pavuru, kuru nwatam yaa niewo lahachi na Izirẹlụ maka na ndem na-achọwarị a ogbugbu anwụhụduwo.”"
" So he got up, took the child and his mother and went to the land of Israel.",Josẹf pavuru kuru ya nwatam yaa niewo lahachichee Izirẹlụ.
"But when he heard that Archelaus was reigning in Judea in place of his father Herod, he was afraid to go there.","Josẹf nụrụ na Akịlus nọ chiri isi nnịa Herọd na-achị na Judia, ụjọ ba a ịla Judia."
"Having been warned in a dream, he withdrew to the district of Galilee,","Maka na e seworu e ẹka na ntị na nrọ, ya o kuru wo na-ala ọnụmara Galili."
"he went and lived in a town called Nazareth. So was fulfilled what was said through the prophets, that he would be called a Nazarene.","Ya ọ laga alị Nazarẹtị imezu kweri ihe Chineke kwuru na ọnụ nde amụma sị, “E je-eku e onye Nazarẹtị"
John the Baptist Prepares the Way.,Oziọma Jọn Ome Baụtizim
"In those days John the Baptist came, preaching in the wilderness of Judea and saying, “Repent, for the kingdom of heaven has come near.”","Jọn ome baụtizim nọrụ na ọzara Judia na-ezi oziọma sị, “Unu chegeridue habue ụmara ọjọọ uunu, maka na mgbe Alịeze Elugwe je-abịa agbanyabafuwo.”"
This is he who was spoken of through the prophet Isaiah:,"Ọ bụ a bụ ya onyem onye amụma Ayịzaya kwuru bayeri sị,"
"“A voice of one calling in the wilderness, ‘Prepare the way for the Lord, make straight paths for him.’ ”","O nworu olu na-adaa na ọzara sị,‘Mechee okporo ụzọ Onyenwoayị, mie ụzọ a na ọ dị kpororo.’ ”"
"John’s clothes were made of camel’s hair, and he had a leather belt around his waist.",Uwe Jọn yeri bụrụ ẹkụ e jiri ẹjị ịnyanya ivu kwoe; ajị o jiri na-ekegide uwie bụrụ akpụkpọ anụ;
His food was locusts and wild honey.,nri e bụrụ igube yaa manụ ẹnwụ hi na ọhịa.
People went out to him from Jerusalem and all Judea and the whole region of the Jordan.,Ntụtụ madụ hi na Jerusalẹm maa Judia na ohu maa ọnụmara ẹnyụm Jọdan na ohu na-agba na-ejekwu Jọn na ọzara.
"Confessing their sins, they were baptized by him in the Jordan River.","Wo na-ekwufute ihe ọjọọ wo megeworu, Jọn na-eme wo baụtizim na ẹnyụm Jọdan."
"But when he saw many of the Pharisees and Sadducees coming to where he was baptizing, he said to them:","Mgbe Jọn hụrụ ntụtụ nde Farisii maa nde Sadusii ibe wo bịataje na ibe o na-ome nde madụ baụtizim, ya ọ sị wo,"
“You brood of vipers! Who warned you to flee from the coming wrath?,“Unua ụmụ nchikpọekie! Onye sị unu gbanahị iwe-ọkụ Chineke je-adakwasị nde madụ?
Produce fruit in keeping with repentance.,Unu mie ụmara ọma gu[1]siri na madụ ehiwo na omume ihe ọjọọ ya chegerie.
"And do not think you can say to yourselves, ‘We have Abraham as our father.’","Unu anọkwa na-asị onwuunu, ‘Ọkwaa na ayị nwo Eburaham na nna.’"
I tell you that out of these stones God can raise up children for Abraham.,"Na mụ eekwu-eri unu eziokwu, Chineke nworu ikike ime na mkpume achịvuru bụrụ ụmụ Eburaham."
"The ax is already at the root of the trees, and every tree that does not produce good fruit will be cut down and thrown into the fire.","Anyụnkụ atọgbọwokweri na ọgbaragwụ osisi, nke ọọbụla aamịtagị akpụrụ ọma na e gbutue ye tụbaa na ọkụ."
“I baptize you with water for repentance.,“Eji m mini amaka na-eme baụtizim igusi na madụ echegeriwo fụta na omume ihe ọjọọ.
"But after me comes one who is more powerful than I, whose sandals I am not worthy to carry.",Ọbụ na o nwo onye ka mnị bịatajeni. E rukoheegi m ịchịtarị a akpụkpọkpa.
He will baptize you with the Holy Spirit and fire.,Ọ bụ a je-eji Maa Nsọ yaa ọkụ mie unu nkie mbụ baụtizim.
"His winnowing fork is in his hand, and he will clear his threshing floor, gathering his wheat into the barn and burning up the chaff with unquenchable fire.","Ihe o ji je-ayọcha ihe ubie dị am na ẹka. Ya o jege na ibe o keye na-ayọcha a, na o weri nke bụ ezibe akpụrụ gbaa na ẹkpa pabaa na ọba, kpo[1]ru ndem bụ ẹhụrụ wụbaa na ọkụ aanyụhụgụ anyụhụ.”"
The Baptism of Jesus,Omume Jisọs Baụtizim
Then Jesus came from Galilee to the Jordan to be baptized by John.,Jisọs hi na Galili bịa na ẹnyụm Jọdan na Jọn mie ye baụtizim.
"But John tried to deter him, saying,","Jọn na-achọ na ọ kwụsị a, sị a,"
"“I need to be baptized by you, and do you come to me?”",“Ị bịarị na mụ emie gi baụtizim ibe ọ bụ mụoni kwesiri ịbịa na i mie m baụtizim?”
"Jesus replied, “Let it be so now; it is proper for us to do this to fulfill all righteousness.”","Jisọs sị a, “Hasịa ya na ọ dị ya ẹɦụm ẹɦụọdị. Ọ dị ma na ayị mezue ọchụchọ Chineke na ohu.”"
Then John consented.,Jọn kwezuu.
"As soon as Jesus was baptized, he went up out of the water.","E mefurum Jisọs baụtizim, ya o hi na ime mini nyikote."
"At that moment heaven was opened, and he saw the Spirit of God descending like a dove and alighting on him.","Elugwe kpuhee, ya ọ hụ Maa Nsọ ibe o hi na elugwe heride ka ẹkpala"
"And a voice from heaven said,","Olu hi na elugwe daa sị,"
"“This is my Son, whom I love; with him I am well pleased.”","“Onyie bụ Nwa m nwoke m hụrụ na ẹnya ọkam, ihie dịŋaarị m ma.”"
Jesus Is Tested in the Wilderness,Ọnwụnwa A Nwarị Jisọs
Then Jesus was led by the Spirit into the wilderness to be tempted by the devil.,"Maa Nsọ duru Jisọs na-eje na ọzara, ibe o keyeri Ekwensu nwaa ya ọnwụnwa."
"After fasting forty days and forty nights, he was hungry.","Mgbe Jisọs vuduru ọnụ na ekpere ihu abalị ẹbọọ, ehihe maa abalị, ezibe ẹgụ gidie."
"The tempter came to him and said, “If you are the Son of God, tell these stones to become bread.”","Ya onye ọnwụnwam bụ Ekwensu garị jekwute Jisọs bịa-asị a, “Ibe ị bụ ya Ọkparam nke Chineke, sị mkpumiega wo gọa buredi.”"
"Jesus answered, “It is written: ‘Man shall not live on bread alone, but on every word that comes from the mouth of God.’ ”","Jisọs sị a, “E deri e na Ẹkwụkwọ Nsọ sị, ‘Madụ amagị e jinwe ọtịta buredi yaanịa dị ndụ, kama ọ bụ hite na okwu ọọbụla hi Chineke na ọnụ.’ ”"
Then the devil took him to the holy city and had him stand on the highest point of the temple.,"Ekwensu dukwekweri e na-eje alị nsọ Jerusalẹm, duru e nyikoru ibe kakọta na elu na Oke Ulo Nsọ, sị a,"
"“If you are the Son of God,” he said, “throw yourself down.","“Ibe ị bụ ya Ọkparam nke Chineke, hi na ibie tụda onwogu."
"For it is written: “ ‘He will command his angels concerning you, and they will lift you up in their hands, so that you will not strike your foot against a stone.’ ”","E deri e na Ẹkwụkwọ Nsọ sị,“ ‘Chineke je-anị ndemaaozi e iwu bayeri gi,na wo je-eji ẹka wo parị gị,na ị kpọbukwe ọkpa na mkpume.’ ”"
"Jesus answered him, “It is also written: ‘Do not put the Lord your God to the test.’ ”","Jisọs sị a, “E dekoru e na Ẹkwụkwọ Nsọ sị, ‘Anwagile[1]kwe Onyenwoayị bụ Chineke gi ọnwụnwa.’ ”"
